product_id,name,price,discount_pct,price_original,brand,category,source_store
6742548611149,The Mariner Coat in Army Melton Wool,448.0,0.0,448.0,Taylor Stitch,outerwear,taylorstitch
6865638555725,The Weekender Duffle in Chocolate Roughout,383.6,30.0,548.0,Taylor Stitch,accessories,taylorstitch
6742548643917,The Mariner Coat in Sable Melton Wool,348.6,30.0,498.0,Taylor Stitch,outerwear,taylorstitch
7579180204109,The Stevens Sportcoat in Morel Micro Check,398.0,0.0,398.0,Taylor Stitch,outerwear,taylorstitch
6846131667021,The GR1 USA in Raindrop Camo Ripstop WashWax,550.0,0.0,550.0,Taylor Stitch,accessories,taylorstitch
6865638883405,The James Jacket in Vintage Tan Suede,349.0,50.0,698.0,Taylor Stitch,outerwear,taylorstitch
7454610784333,The Ojai Jacket in Marsh Guncheck Harris Tweed Wool,398.0,0.0,398.0,Taylor Stitch,outerwear,taylorstitch
7115849564237,The Bomber Jacket in Army Suede,698.0,0.0,698.0,Taylor Stitch,outerwear,taylorstitch
8542774034520,Thunderbolt 5 CubeDock™ with SSD Enclosure,399.99,0.0,399.99,Satechi,docking,satechi
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,695.0,0.0,695.0,unknown,jewelery,fakestore
13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,599.0,0.0,599.0,unknown,electronics,fakestore
14,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,999.99,0.0,999.99,unknown,electronics,fakestore
